param,cv,metrics,val_acc,matrix
n_est,cv3,12,0.505540974,"[[ 104    0    0    0    0    0    0    1    5    4  172]
 [   1    0    0    0    1    0    0    0    7  579    3]
 [   0    0   21    0    0    0    0    0    0    5    2]
 [   0    0    0    0    0    0    0    1    1    5    3]
 [   0    0    0    0    9    0    0    0   12  597    0]
 [   0    0    0    0    0    0    0    0    2  184    1]
 [   1    0    1    0    9    0    0    6   27  261    1]
 [   1    0    1    0    2    0    1  845   28    0    0]
 [   2    0    0    0    2    0    0  403  661 1007    2]
 [   0    0    0    0    1    0    0    0    0 1663    3]
 [  26    0    0    0    0    0    0    4    2   14  164]]"
n_est,cv3,50,0.531933508,"[[ 274    0    0    1    0    0    0    0    0    1   10]
 [   0  119    0    0    0    0    1    0   12  456    3]
 [   0    5   16    0    2    0    0    0    1    1    3]
 [   0    0    0    0    0    0    0    1    1    5    3]
 [   0    3    0    0   11    0    0    0   16  588    0]
 [   0    0    0    0    1    0    0    0    3  182    1]
 [   0    3    0    0    8    0    1    6   28  259    1]
 [   2    1    2    0    2    0    0  841   30    0    0]
 [   1   12    0    0    3    0    0  401  673  985    2]
 [   0   22    0    0    2    0    0    0   10 1630    3]
 [ 109    4    0    1    0    0    0    1    2   10   83]]"
n_est,cv4,5,0.429717119,"[[ 197    0    0    0    0    0    0    0    0    1   88]
 [   0    0    0    0    0    0    0    0   13  575    3]
 [   0    0   11    0    0    0    0    0    3    7    7]
 [   0    0    0    0    0    0    0    0    2    8    0]
 [   0    0    0    0    0    0    0    0    8  607    3]
 [   0    0    0    0    0    0    0    0    3  182    2]
 [   0    0    0    0    0    0    0    0   23  282    1]
 [   0    0    0    0    0    0    0    0  863    1   14]
 [   2    0    1    0    0    0    0    0  992 1052   30]
 [   0    0    0    0    0    0    0    0    0 1659    8]
 [  48    0    1    0    0    0    0    0    3   70   88]]"
n_est,cv4,10,0.443277924,"[[ 259    0    0    0    0    0    0    0    0    1   26]
 [   0    0    0    0    0    0    0    0   12  573    6]
 [   0    0   11    0    0    0    0    0    3    5    9]
 [   0    0    0    0    0    0    0    0    1    8    1]
 [   0    0    0    0    0    0    0    0    8  608    2]
 [   0    0    0    0    0    0    0    0    3  181    3]
 [   0    0    0    0    0    0    0    0   22  283    1]
 [   1    0    0    0    0    0    0    0  870    1    6]
 [   5    0    1    0    0    0    0    3 1003 1052   13]
 [   0    0    0    0    0    0    0    0    0 1660    7]
 [  95    0    0    0    0    0    0    0    1    7  107]]"
n_est,cv4,12,0.443132108,"[[ 276    1    0    0    0    0    0    0    0    1    8]
 [   0    3    0    0    0    0    0    0   12  573    3]
 [   0    0   11    0    0    0    0    0    3    5    9]
 [   0    0    0    0    0    0    0    0    1    8    1]
 [   0    2    0    0    0    0    0    0    8  608    0]
 [   0    0    0    0    0    0    0    0    3  181    3]
 [   0    0    0    0    0    0    0    0   22  283    1]
 [   1    0    0    0    0    0    0    0  870    1    6]
 [   3    6    1    0    1    0    0    3 1003 1051    9]
 [   0    4    0    0    0    0    0    0    0 1660    3]
 [ 115    0    0    0    1    0    0    0    2    6   86]]"
n_est,cv4,50,0.532370954,"[[ 279    1    0    0    0    0    0    1    0    0    5]
 [   0    6    0    0    0    0    2    2   13  565    3]
 [   0    0   13    0    0    0    0    0    7    5    3]
 [   0    1    0    0    0    0    0    1    1    7    0]
 [   0    2    0    0   10    0    3    1    8  594    0]
 [   0    2    0    0    0    0    0    0    3  181    1]
 [   0    0    0    0    9    0    0    5   31  261    0]
 [   1    0    0    0    0    0    0  858   19    0    0]
 [   3    9    1    0    3    0    4  360  763  928    6]
 [   0    8    0    0    4    0    3    0   13 1636    3]
 [ 111    0    2    1    0    0    0    1    2    7   86]]"
n_est,cv5,5,0.435403908,"[[ 139    0    0    0    0    0    0    0    2   16  129]
 [   0    0    3    0    0    0    0    0   13  566    9]
 [   1    0   14    0    0    0    0    0    0    7    6]
 [   0    0    0    0    0    0    0    0    0    7    3]
 [   0    0    0    0    0    0    0    0    6  611    1]
 [   0    0    1    0    0    0    0    0    5  179    2]
 [   0    0    0    0    0    0    0    0   27  278    1]
 [   2    0    1    0    0    0    0    0  868    0    7]
 [   0    0    0    0    0    0    0    0 1009 1057   11]
 [   1    0    0    0    0    0    0    0    0 1660    6]
 [  36    0    0    0    0    0    0    0    3    7  164]]"
n_est,cv5,10,0.446923301,"[[ 244    1    0    0    1    0    1    1    0    1   37]
 [   0    2    2    0    0    0    1    0   14  565    7]
 [   4    0   16    0    0    0    0    0    0    5    3]
 [   0    0    0    0    0    0    0    0    0    7    3]
 [   0    0    0    0    0    0    4    0    6  607    1]
 [   0    0    1    0    0    0    0    0    5  179    2]
 [   0    0    0    0    0    0    1    0   27  276    2]
 [   0    0    0    0    0    0    0   40  828    0   10]
 [   0    7    0    0    0    0    0    4 1005 1056    5]
 [   0    2    0    0    6    0    2    0    0 1651    6]
 [ 100    0    0    0    0    0    0    0    1    3  106]]"
n_est,cv5,12,0.447798192,"[[ 255    1    0    0    0    0    1    0    0    1   28]
 [   0    2    2    0    0    0    1    0   14  565    7]
 [   1    0   16    0    0    0    0    0    0    5    6]
 [   0    0    0    0    0    0    0    0    0    7    3]
 [   0    0    0    0    0    0    4    0    6  607    1]
 [   0    0    1    0    0    0    0    0    5  179    2]
 [   0    0    0    0    0    0    1    0   27  276    2]
 [   0    0    0    0    0    0    0   40  828    0   10]
 [   0    7    0    0    0    0    0    4 1005 1056    5]
 [   0    2    0    0    0    0    8    0    0 1651    6]
 [ 104    0    0    0    0    0    0    0    2    3  101]]"
n_est,cv5,50,0.447360747,"[[ 260    1    0    6    0    0    2    0    0    1   16]
 [   0    2    3    0    0    0    1    0   19  558    8]
 [   1    0   15    1    0    0    1    0    0    4    6]
 [   0    0    0    0    0    0    0    0    0    7    3]
 [   0    0    0    0    1    0    4    0   11  601    1]
 [   0    0    0    0    0    0    0    0    5  179    3]
 [   0    0    0    1    0    0    1    0   28  275    1]
 [   0    0    0    5    0    0    1   39  825    0    8]
 [   0    7    0    2    0    0    1    6 1007 1050    4]
 [   0    2    1    1    3    0    5    0    6 1641    8]
 [  97    2    0    2    0    0    0    1    2    4  102]]"
